Nominee,Nomination Date,Confirmation Date,Court,Incumbent,Vacancy Reason,Vacancy Date
"Gelpi,Gustavo A.",05/12/2021,10/18/2021,01 - CCA,"Torruella,Juan R.",Deceased,10/26/2020
"Montecalvo,Lara E.",05/19/2022,09/14/2022,01 - CCA,"Thompson,Ojetta Rogeriee",Senior,09/14/2022
"Kelley,Angel",05/12/2021,09/14/2021,01 - MA,"Woodlock,Douglas P.",Senior,06/01/2015
"Elliott,Samantha D.",09/30/2021,12/15/2021,01 - NH,"Barbadoro,Paul J.",Senior,03/01/2021
"Lee,Eunice C.",05/12/2021,08/07/2021,02 - CCA,"Katzmann,Robert A.",Senior,01/21/2021
"Merriam,Sarah A. L.",05/19/2022,09/15/2022,02 - CCA,"Carney,Susan L.",Senior,09/15/2022
"Nathan,Alison J.",01/04/2022,03/23/2022,02 - CCA,"Pooler,Rosemary S.",Senior,03/23/2022
"Perez,Myrna",06/15/2021,10/25/2021,02 - CCA,"Chin,Denny",Senior,06/01/2021
"Robinson,Beth",08/05/2021,11/01/2021,02 - CCA,"Hall,Peter W.",Senior,03/04/2021
"Merriam,Sarah A.L.",06/15/2021,10/06/2021,02 - CT,"Hall,Janet C.",Senior,01/21/2021
"Nagala,Sarala Vidya",06/15/2021,10/27/2021,02 - CT,"Bryant,Vanessa Lynne",Senior,02/01/2021
"Williams,Omar Antonio",06/15/2021,10/28/2021,02 - CT,"Thompson,Alvin W.",Senior,08/31/2018
"Gonzalez,Hector",12/15/2021,03/23/2022,02 - NYE,"Cogan,Brian M.",Senior,06/12/2020
"Morrison,Nina",12/15/2021,06/08/2022,02 - NYE,"Irizarry,Dora L.",Senior,01/26/2020
"Rearden,Jennifer H.",01/19/2022,09/08/2022,02 - NYS,"Sullivan,Richard J.",Elevated,10/11/2018
"Rochon,Jennifer Louise",12/15/2021,05/18/2022,02 - NYS,"Daniels,George B.",Senior,05/01/2021
"Williams,Gregory Brian",04/25/2022,07/20/2022,03 - DE,"Stark,Leonard P.",Elevated,02/09/2022
"Castner,Georgette",01/04/2022,03/31/2022,03 - NJ,"Linares,Jose L.",Retired,05/16/2019
"Neals,Julien Xavier",04/19/2021,06/08/2021,03 - NJ,"Martini,William J.",Senior,02/10/2015
"O'Hearn,Christine P.",04/29/2021,10/19/2021,03 - NJ,"Kugler,Robert B.",Senior,11/02/2018
"Padin,Evelyn",12/15/2021,05/25/2022,03 - NJ,"Hochberg,Faith S.",Retired,03/06/2015
"Quraishi,Zahid N.",04/19/2021,06/10/2021,03 - NJ,"Sheridan,Peter G.",Senior,06/14/2018
"Williams,Karen McGlashan",05/12/2021,10/26/2021,03 - NJ,"Simandle,Jerome B.",Senior,05/31/2017
"Heytens,Toby J.",07/13/2021,11/01/2021,04 - CCA,"Keenan,Barbara Milano",Senior,08/31/2021
"Boardman,Deborah L.",04/19/2021,06/23/2021,04 - MD,"Bennett,Richard D.",Senior,06/23/2021
"Griggsby,Lydia Kay",04/19/2021,06/16/2021,04 - MD,"Blake,Catherine C.",Senior,04/02/2021
"Rubin,Julie Rebecca",01/04/2022,03/23/2022,04 - MD,"Hollander,Ellen Lipton",Senior,03/23/2022
